idx,distractors,condition,good,bad
0,0,subj_sg,The [wug] is happy.,The [wug] are happy.
1,0,subj_pl,The [wugs] are happy.,The [wugs] is happy.
2,1,subj_sg_d1_pl,The [wug] near the trees is happy.,The [wug] near the trees are happy.
3,1,subj_pl_d1_sg,The [wugs] near the tree are happy.,The [wugs] near the tree is happy.
4,2,subj_sg_d1_pl_d2_pl,The [wug] near the trees and behind the cars is happy.,The [wug] near the trees and behind the cars are happy.
5,2,subj_pl_d1_sg_d2_sg,The [wugs] near the tree and behind the car are happy.,The [wugs] near the tree and behind the car is happy.
6,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] near the trees, behind the cars, and under the boxes is happy.","The [wug] near the trees, behind the cars, and under the boxes are happy."
7,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] near the tree, behind the car, and under the box are happy.","The [wugs] near the tree, behind the car, and under the box is happy."
8,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] near the trees, behind the cars, under the boxes, and beside the cats is happy.","The [wug] near the trees, behind the cars, under the boxes, and beside the cats are happy."
9,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] near the tree, behind the car, under the box, and beside the cat are happy.","The [wugs] near the tree, behind the car, under the box, and beside the cat is happy."
10,0,subj_sg,The [wug] is happy.,The [wug] are happy.
11,0,subj_pl,The [wugs] are happy.,The [wugs] is happy.
12,1,subj_sg_d1_pl,The [wug] behind the cars is happy.,The [wug] behind the cars are happy.
13,1,subj_pl_d1_sg,The [wugs] behind the car are happy.,The [wugs] behind the car is happy.
14,2,subj_sg_d1_pl_d2_pl,The [wug] behind the cars and under the boxes is happy.,The [wug] behind the cars and under the boxes are happy.
15,2,subj_pl_d1_sg_d2_sg,The [wugs] behind the car and under the box are happy.,The [wugs] behind the car and under the box is happy.
16,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] behind the cars, under the boxes, and beside the cats is happy.","The [wug] behind the cars, under the boxes, and beside the cats are happy."
17,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] behind the car, under the box, and beside the cat are happy.","The [wugs] behind the car, under the box, and beside the cat is happy."
18,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] behind the cars, under the boxes, beside the cats, and in front of the dogs is happy.","The [wug] behind the cars, under the boxes, beside the cats, and in front of the dogs are happy."
19,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] behind the car, under the box, beside the cat, and in front of the dog are happy.","The [wugs] behind the car, under the box, beside the cat, and in front of the dog is happy."
20,0,subj_sg,The [wug] is happy.,The [wug] are happy.
21,0,subj_pl,The [wugs] are happy.,The [wugs] is happy.
22,1,subj_sg_d1_pl,The [wug] under the boxes is happy.,The [wug] under the boxes are happy.
23,1,subj_pl_d1_sg,The [wugs] under the box are happy.,The [wugs] under the box is happy.
24,2,subj_sg_d1_pl_d2_pl,The [wug] under the boxes and beside the cats is happy.,The [wug] under the boxes and beside the cats are happy.
25,2,subj_pl_d1_sg_d2_sg,The [wugs] under the box and beside the cat are happy.,The [wugs] under the box and beside the cat is happy.
26,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] under the boxes, beside the cats, and in front of the dogs is happy.","The [wug] under the boxes, beside the cats, and in front of the dogs are happy."
27,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] under the box, beside the cat, and in front of the dog are happy.","The [wugs] under the box, beside the cat, and in front of the dog is happy."
28,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] under the boxes, beside the cats, in front of the dogs, and next to the horses is happy.","The [wug] under the boxes, beside the cats, in front of the dogs, and next to the horses are happy."
29,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] under the box, beside the cat, in front of the dog, and next to the horse are happy.","The [wugs] under the box, beside the cat, in front of the dog, and next to the horse is happy."
30,0,subj_sg,The [wug] is happy.,The [wug] are happy.
31,0,subj_pl,The [wugs] are happy.,The [wugs] is happy.
32,1,subj_sg_d1_pl,The [wug] beside the cats is happy.,The [wug] beside the cats are happy.
33,1,subj_pl_d1_sg,The [wugs] beside the cat are happy.,The [wugs] beside the cat is happy.
34,2,subj_sg_d1_pl_d2_pl,The [wug] beside the cats and in front of the dogs is happy.,The [wug] beside the cats and in front of the dogs are happy.
35,2,subj_pl_d1_sg_d2_sg,The [wugs] beside the cat and in front of the dog are happy.,The [wugs] beside the cat and in front of the dog is happy.
36,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] beside the cats, in front of the dogs, and next to the horses is happy.","The [wug] beside the cats, in front of the dogs, and next to the horses are happy."
37,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] beside the cat, in front of the dog, and next to the horse are happy.","The [wugs] beside the cat, in front of the dog, and next to the horse is happy."
38,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] beside the cats, in front of the dogs, next to the horses, and past the women is happy.","The [wug] beside the cats, in front of the dogs, next to the horses, and past the women are happy."
39,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] beside the cat, in front of the dog, next to the horse, and past the woman are happy.","The [wugs] beside the cat, in front of the dog, next to the horse, and past the woman is happy."
40,0,subj_sg,The [wug] is happy.,The [wug] are happy.
41,0,subj_pl,The [wugs] are happy.,The [wugs] is happy.
42,1,subj_sg_d1_pl,The [wug] in front of the dogs is happy.,The [wug] in front of the dogs are happy.
43,1,subj_pl_d1_sg,The [wugs] in front of the dog are happy.,The [wugs] in front of the dog is happy.
44,2,subj_sg_d1_pl_d2_pl,The [wug] in front of the dogs and next to the horses is happy.,The [wug] in front of the dogs and next to the horses are happy.
45,2,subj_pl_d1_sg_d2_sg,The [wugs] in front of the dog and next to the horse are happy.,The [wugs] in front of the dog and next to the horse is happy.
46,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] in front of the dogs, next to the horses, and past the women is happy.","The [wug] in front of the dogs, next to the horses, and past the women are happy."
47,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] in front of the dog, next to the horse, and past the woman are happy.","The [wugs] in front of the dog, next to the horse, and past the woman is happy."
48,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] in front of the dogs, next to the horses, past the women, and near the men is happy.","The [wug] in front of the dogs, next to the horses, past the women, and near the men are happy."
49,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] in front of the dog, next to the horse, past the woman, and near the man are happy.","The [wugs] in front of the dog, next to the horse, past the woman, and near the man is happy."
50,0,subj_sg,The [wug] is happy.,The [wug] are happy.
51,0,subj_pl,The [wugs] are happy.,The [wugs] is happy.
52,1,subj_sg_d1_pl,The [wug] next to the horses is happy.,The [wug] next to the horses are happy.
53,1,subj_pl_d1_sg,The [wugs] next to the horse are happy.,The [wugs] next to the horse is happy.
54,2,subj_sg_d1_pl_d2_pl,The [wug] next to the horses and past the women is happy.,The [wug] next to the horses and past the women are happy.
55,2,subj_pl_d1_sg_d2_sg,The [wugs] next to the horse and past the woman are happy.,The [wugs] next to the horse and past the woman is happy.
56,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] next to the horses, past the women, and near the men is happy.","The [wug] next to the horses, past the women, and near the men are happy."
57,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] next to the horse, past the woman, and near the man are happy.","The [wugs] next to the horse, past the woman, and near the man is happy."
58,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] next to the horses, past the women, near the men, and behind the foxes is happy.","The [wug] next to the horses, past the women, near the men, and behind the foxes are happy."
59,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] next to the horse, past the woman, near the man, and behind the fox are happy.","The [wugs] next to the horse, past the woman, near the man, and behind the fox is happy."
60,0,subj_sg,The [wug] is happy.,The [wug] are happy.
61,0,subj_pl,The [wugs] are happy.,The [wugs] is happy.
62,1,subj_sg_d1_pl,The [wug] past the women is happy.,The [wug] past the women are happy.
63,1,subj_pl_d1_sg,The [wugs] past the woman are happy.,The [wugs] past the woman is happy.
